,Seq1,Vec,SOX9_g1,SOX9_g2,SOX9_g3,SOX9_g4,SOX9_g5,SOX9_g6,PROM1_g1,PROM1_g2,PROM1_g3,PROM1_g4,PROM1_g5,PROM1_g6,KRT20_g1,KRT20_g2,KRT20_g3,KRT20_g4,KRT20_g5,KRT20_g6,LRIG1_g1,LRIG1_g2,LRIG1_g3,LRIG1_g4,LRIG1_g5,LRIG1_g6,CTRL0001_g1,CTRL0002_g2,CTRL0003_g3,CTRL0004_g4,CTRL0005_g5,CTRL0006_g6,CTRL0007_g7,CTRL0008_g8,CTRL0009_g9,CTRL0010_g10,ROSA26_g1,ROSA26_g2,ROSA26_g3,ROSA26_g4,ROSA26_g5,ROSA26_g6,ROSA26_g7,ROSA26_g8,ROSA26_g9,ROSA26_g10,CCR5_g1,CCR5_g2,CCR5_g3,CCR5_g4,CCR5_g5,CCR5_g6,CCR5_g7,CCR5_g8,CCR5_g9,CCR5_g10,AAVS1_g1,AAVS1_g2,AAVS1_g3,AAVS1_g4,AAVS1_g5,AAVS1_g6,AAVS1_g7,AAVS1_g8,AAVS1_g9,AAVS1_g10,EGFP_g1,EGFP_g2,EGFP_g3,EGFP_g4,EGFP_g5,EGFP_g6,mKate2_g1,mKate2_g2,mKate2_g3,mKate2_g4,mKate2_g5,mKate2_g6
20210204_MNSC503_SS8614_S3_R1_001_F8,0,528419,8343,7834,5542,5025,9328,10904,4863,7907,4851,7817,4593,11034,8012,11582,8541,4103,13498,6270,6108,3530,3685,6989,10199,3752,4346,4130,13630,2109,4880,9007,5455,4763,4698,7684,15648,6662,7711,5562,4976,7094,6020,4080,2051,6427,3658,5742,3382,2624,3555,4240,8006,4898,2919,4441,5936,4965,3874,2422,4432,2059,3080,6478,2050,2795,9978,12489,7519,6207,10891,11415,10451,12447,11101,7267,9507,17484
20210204_MNSC503_SS8614_S3_R1_001_unknown,51,106181,2672,2187,1623,1439,2754,3205,1657,2519,1643,2615,1683,3717,2014,3033,2229,1173,3376,1560,2105,1140,1212,2310,3602,1291,1432,1430,4665,767,1533,2952,1801,1586,1576,2499,5254,2292,2630,1956,1615,2602,2105,1350,631,2010,1183,1963,1126,950,1221,1504,2664,1689,1037,1601,2099,1699,1376,838,1463,750,1202,2291,676,829,2347,2859,1571,1565,2509,2648,3005,3613,3322,2145,2738,5018
20210204_MNSC504_SS8614_S4_R1_001_F1,0,116492,2321,1911,1606,1270,2566,2827,1371,1834,1311,2254,1261,3106,697,950,881,346,1055,538,1606,940,1042,1855,2673,990,1197,1148,3557,644,1317,2405,1425,1396,1164,2033,4012,1787,2100,1649,1373,2004,1879,1176,549,1512,1081,1556,847,726,1014,1374,2354,1523,872,1339,1714,1278,1237,651,1417,528,974,1896,545,692,635,805,447,579,713,1415,2258,2705,2586,1796,2062,3794
20210204_MNSC504_SS8614_S4_R1_001_F2,325,155892,1955,1349,1172,933,1512,2601,2051,3017,2020,3337,1892,4608,1843,2651,2020,844,2962,1492,2385,1439,1632,2700,4130,1456,1743,1739,5515,980,1765,3543,2166,1988,1846,3031,6227,2695,3121,2520,1966,3087,2532,1741,774,2066,1514,2394,1299,1099,1685,1921,3324,2085,1233,1862,2464,2002,1638,1009,1885,796,1340,2623,753,1142,2279,2857,1635,1467,2446,2910,751,816,877,1182,886,1351
20210204_MNSC504_SS8614_S4_R1_001_F3,0,121351,1503,1178,928,965,1710,2239,1446,1955,1372,2183,1199,3051,1350,1959,1477,672,2186,1080,1610,833,1028,1866,2720,934,1190,1103,3723,635,1257,2377,1486,1360,1238,2094,4063,1610,2107,1570,1336,1811,1475,1177,488,1474,962,1575,819,706,1164,1161,2206,1382,814,1205,1643,1472,1077,634,1185,540,886,1566,474,684,1776,2256,1264,1127,1939,2239,2430,3079,2778,1810,2267,4163
20210204_MNSC504_SS8614_S4_R1_001_F4,0,128294,2159,1804,1203,1326,2489,2418,1309,1920,1190,2108,1206,2971,1283,2084,1678,717,2264,1178,1448,869,921,1812,2636,851,1062,1146,3568,594,1199,2198,1379,1398,1219,2048,3994,1737,1948,1542,1291,1879,1440,1130,484,1468,963,1523,879,724,1088,1096,2111,1321,695,1135,1433,1269,1043,600,1189,546,874,1532,497,737,1547,2177,1242,1122,1856,2241,3331,4400,3747,2294,3220,5635
20210204_MNSC504_SS8614_S4_R1_001_F5,0,132880,2745,2411,1820,1528,2902,3599,1612,2309,1612,2500,1443,3570,696,1008,790,360,1077,639,1922,1036,1192,2283,3227,1037,1377,1289,3983,712,1355,2924,1654,1568,1429,2496,4470,1886,2446,1751,1468,2266,2151,1256,542,1709,1130,1884,1023,888,1216,1486,2374,1380,947,1445,1903,1478,1333,852,1354,666,1098,2258,680,801,636,689,420,465,727,1719,2811,3453,3172,2123,2305,4617
20210204_MNSC504_SS8614_S4_R1_001_F6,0,178945,2271,1473,1226,861,1619,3059,2424,3373,2413,3815,2214,5488,2116,2726,2290,1120,3637,1659,2735,1521,1733,3323,4621,1668,1956,1911,6389,1053,2086,4132,2344,2313,2206,3488,7466,3010,3639,2760,2273,3700,2872,2020,896,3008,1650,2671,1459,1284,1765,2085,3710,2293,1394,2079,2932,2341,1868,1199,2102,881,1607,3109,897,1278,2783,3333,1814,1776,2890,3580,816,869,779,1248,743,1334
20210204_MNSC504_SS8614_S4_R1_001_F7,0,155240,2078,1697,1266,1240,2275,2956,1712,2376,1720,2768,1521,3951,1691,2556,1840,910,2916,1378,1853,1109,1276,2356,3161,1212,1401,1461,4644,810,1686,2884,1677,1618,1563,2570,5195,2059,2563,1965,1726,2596,2028,1459,703,2128,1196,1969,1208,924,1227,1512,2614,1614,937,1472,2021,1679,1310,775,1412,701,1121,2085,639,832,2275,2549,1268,1483,2403,2816,3414,4271,3953,2511,3064,5799
20210204_MNSC504_SS8614_S4_R1_001_F8,0,127270,2155,1693,1256,1209,2297,2315,1213,1695,1130,1880,1100,2656,1281,6388,1477,715,2112,1035,1383,746,888,1552,2368,917,1040,937,3165,554,1141,2064,1299,1084,1204,1756,3586,1504,1932,1372,1154,1651,1332,970,452,1632,908,1274,786,653,936,968,1906,1176,758,1065,1426,1169,980,495,1052,466,796,1469,440,638,1483,2036,1187,1114,1768,2063,3213,4129,3883,2116,3046,5509
