,Seq1,Vec,SOX9_g1,SOX9_g2,SOX9_g3,SOX9_g4,SOX9_g5,SOX9_g6,PROM1_g1,PROM1_g2,PROM1_g3,PROM1_g4,PROM1_g5,PROM1_g6,KRT20_g1,KRT20_g2,KRT20_g3,KRT20_g4,KRT20_g5,KRT20_g6,LRIG1_g1,LRIG1_g2,LRIG1_g3,LRIG1_g4,LRIG1_g5,LRIG1_g6,CTRL0001_g1,CTRL0002_g2,CTRL0003_g3,CTRL0004_g4,CTRL0005_g5,CTRL0006_g6,CTRL0007_g7,CTRL0008_g8,CTRL0009_g9,CTRL0010_g10,ROSA26_g1,ROSA26_g2,ROSA26_g3,ROSA26_g4,ROSA26_g5,ROSA26_g6,ROSA26_g7,ROSA26_g8,ROSA26_g9,ROSA26_g10,CCR5_g1,CCR5_g2,CCR5_g3,CCR5_g4,CCR5_g5,CCR5_g6,CCR5_g7,CCR5_g8,CCR5_g9,CCR5_g10,AAVS1_g1,AAVS1_g2,AAVS1_g3,AAVS1_g4,AAVS1_g5,AAVS1_g6,AAVS1_g7,AAVS1_g8,AAVS1_g9,AAVS1_g10,EGFP_g1,EGFP_g2,EGFP_g3,EGFP_g4,EGFP_g5,EGFP_g6,mKate2_g1,mKate2_g2,mKate2_g3,mKate2_g4,mKate2_g5,mKate2_g6
20210204_MNSC509_SS8614_S9_R1_001_F1,0,176831,1131,857,726,758,1240,2876,2403,3875,2437,3943,2350,1615,1157,1505,1066,499,1618,849,3168,1667,1865,3382,4964,1877,2208,2255,6762,1179,2475,4413,2821,2381,2371,3660,4106,2940,3773,2834,2472,3560,2781,2267,975,2581,1882,2711,1740,1215,1917,2000,1617,2439,1485,2145,2740,2332,1962,1138,2105,958,1542,2897,958,1335,1139,1804,800,695,1129,2114,0,1639,1373,625,0,0
20210204_MNSC509_SS8614_S9_R1_001_F2,382,158766,1115,772,676,656,1173,2461,1997,3165,2001,3176,1681,1388,1621,2336,1802,918,2844,1295,2497,1281,1545,2619,4036,1415,1736,1607,5441,1004,1952,3622,2271,2074,1977,3004,3450,2442,3040,2129,1974,2808,2076,1834,767,1973,1411,2216,1373,1041,1569,1664,1318,1964,1104,2013,2148,1951,1584,939,1523,776,1274,2411,734,1055,2201,2879,1731,1432,2402,2957,0,1326,1295,527,0,0
20210204_MNSC509_SS8614_S9_R1_001_F3,0,174693,830,680,511,615,919,2467,2118,3518,2120,3495,1779,1339,1973,2763,2010,1004,3598,1600,2548,1410,1688,3037,4296,1426,1853,1913,5853,1050,2252,3978,2604,2308,2260,3496,3816,2688,3243,2485,2093,2773,1943,1901,873,2171,1472,2238,1566,917,1638,1426,1274,1976,1251,1851,2262,2011,1486,991,1728,857,1155,2312,802,1099,3023,3520,2141,1668,2872,3476,0,1960,1793,779,0,0
20210204_MNSC509_SS8614_S9_R1_001_F4,0,162556,716,554,424,525,779,2084,1967,3273,2006,3256,1769,1173,1736,2495,1971,986,3228,1566,2221,1181,1616,2781,4007,1323,1838,1776,5478,1058,2033,3639,2305,2030,2139,3201,3496,2527,3060,2274,1994,2581,1807,1783,791,2174,1225,2011,1457,914,1514,1299,1190,1923,1176,1747,2026,2005,1366,913,1452,778,1005,2100,669,978,2358,3411,1817,1685,2587,3208,0,1982,1837,914,0,0
20210204_MNSC509_SS8614_S9_R1_001_F5,0,214590,1666,822,891,685,1018,2977,2753,4518,2911,4760,2613,1935,2576,3674,2765,1333,4512,2134,3321,1866,2222,4086,5752,2038,2526,2552,7977,1390,2833,5041,3189,2935,2790,4371,5020,3740,4392,3283,2780,4098,2835,2523,1163,3271,1822,3026,2062,1423,2253,2162,1670,2682,1721,2572,3225,2777,2079,1272,2386,1020,1744,3351,958,1459,3519,4444,2318,2236,3789,4637,0,206,179,99,0,0
20210204_MNSC509_SS8614_S9_R1_001_F6,0,197874,862,465,527,551,666,2570,2509,4101,2736,4439,2523,1698,2215,3149,2517,1215,4198,1820,2963,1640,1878,3632,5038,1900,2398,2392,7600,1338,2429,4582,2874,2676,2581,3936,5015,3634,3997,2982,2507,3871,2463,2286,1078,3327,1794,3030,1739,1307,2111,1871,1544,2560,1536,2296,3017,2750,1981,1227,2248,1044,1655,3154,957,1422,3277,4254,2295,2098,3463,4088,0,223,196,89,0,0
20210204_MNSC509_SS8614_S9_R1_001_F7,0,199879,2663,2248,1432,1755,3040,3943,1942,3316,1935,3303,1897,1339,1861,2810,2097,1041,3410,1718,2296,1216,1519,2858,3868,1309,1821,1937,5717,905,1960,3597,2294,2284,1968,3154,3605,2623,3067,2401,1879,2568,1899,1797,788,2468,1408,2221,1370,991,1507,1483,1254,1892,1123,1848,2300,2100,1496,964,1680,795,1242,2240,767,1188,2482,3112,1502,1686,2744,3402,0,6347,5698,2493,0,0
20210204_MNSC509_SS8614_S9_R1_001_F8,0,191837,2337,1910,1000,1518,2656,3062,1709,2948,1919,2842,1602,1189,1819,2501,1890,906,3016,1467,2153,1152,1211,2592,3644,1281,1581,1666,5282,943,1818,3337,2185,2020,1915,2645,3352,2396,2890,2126,1804,2470,1784,1565,716,2474,1186,2068,1285,847,1433,1354,1045,1762,1164,1675,2050,1760,1335,860,1431,745,1098,2130,667,1018,2271,2772,1789,1402,2440,3009,0,7453,6654,2954,0,0
20210204_MNSC509_SS8614_S9_R1_001_unknown,0,6554,543,374,274,300,548,964,740,1274,785,1265,772,515,609,979,719,392,1149,502,944,487,599,1153,1581,541,715,741,2224,420,786,1479,940,835,824,1157,1441,1132,1196,920,798,1151,824,672,302,939,559,858,545,399,606,606,432,767,454,708,948,831,639,348,646,317,553,975,293,409,786,1063,540,487,887,1085,7,845,796,346,44,9
20210204_MNSC510_SS8614_S10_R1_001_F1,0,163437,1892,1570,1136,1201,1995,3764,2021,3374,2080,3471,2008,1376,606,636,580,278,831,456,2215,1328,1480,2670,4034,1480,1928,1945,6314,1011,2012,3553,2262,2182,2039,3016,3986,2861,3224,2428,2121,3197,2077,1806,803,2178,1510,2359,1443,1170,1690,1558,1366,2281,1302,1867,2383,2394,1730,1039,1830,884,1471,2656,795,1100,418,454,300,306,452,1058,0,4051,3444,1691,0,0
